last_updated,entity_id,state
2023-01-16 04:25:56.334534,device_tracker.sm_a336b,Cate Home
2023-01-16 04:25:57.401284,sensor.sm_a336b_battery_level,55
2023-01-16 04:25:57.438549,sensor.sm_a336b_battery_temperature,18.0
2023-01-16 04:25:57.482451,sensor.sm_a336b_battery_power,0.0
2023-01-16 06:26:27.734097,device_tracker.sm_a336b,Cate Home
2023-01-16 06:26:27.871763,sensor.sm_a336b_battery_level,54
2023-01-16 06:26:27.902089,sensor.sm_a336b_battery_temperature,17.5
2023-01-16 06:26:27.928719,sensor.sm_a336b_battery_power,0.0
2023-01-16 06:27:00.073416,device_tracker.sm_a336b,Cate Home
2023-01-16 08:40:10.423435,sensor.sm_a336b_battery_level,52
2023-01-16 08:40:10.495614,sensor.sm_a336b_battery_temperature,18.9
2023-01-16 08:40:10.615174,sensor.sm_a336b_battery_power,0.0
2023-01-16 08:40:14.211040,device_tracker.sm_a336b,Cate Home
2023-01-16 08:40:24.833172,device_tracker.sm_a336b,Cate Home
2023-01-16 08:45:06.903770,device_tracker.sm_a336b,Cate Home
2023-01-16 08:50:02.955999,device_tracker.sm_a336b,Cate Home
2023-01-16 08:50:14.462535,device_tracker.sm_a336b,Cate Home
2023-01-16 08:50:32.466835,device_tracker.sm_a336b,Cate Home
2023-01-16 08:55:02.182910,device_tracker.sm_a336b,Cate Home
2023-01-16 08:55:11.235606,sensor.sm_a336b_battery_temperature,22.4
2023-01-16 08:55:11.236674,sensor.sm_a336b_battery_power,0.0
2023-01-16 08:55:11.311850,device_tracker.sm_a336b,Cate Home
2023-01-16 09:00:02.099695,device_tracker.sm_a336b,Cate Home
2023-01-16 09:00:21.952478,device_tracker.sm_a336b,Cate Home
2023-01-16 09:05:18.495307,device_tracker.sm_a336b,Cate Home
2023-01-16 09:11:07.699958,sensor.sm_a336b_battery_temperature,19.1
2023-01-16 09:11:07.742019,sensor.sm_a336b_battery_power,0.0
2023-01-16 09:24:40.237319,device_tracker.sm_a336b,Cate Home
2023-01-16 09:38:17.764786,sensor.sm_a336b_battery_temperature,16.3
2023-01-16 09:38:17.765810,sensor.sm_a336b_battery_power,0.0
2023-01-16 09:38:32.727800,sensor.sm_a336b_battery_power,0.0
2023-01-16 09:42:19.066628,device_tracker.sm_a336b,Cate Home
2023-01-16 10:20:03.718219,sensor.sm_a336b_battery_power,-0.01
2023-01-16 10:20:04.586255,device_tracker.sm_a336b,Cate Home
