last_updated,entity_id,state
2023-01-16 05:48:03.462501,sensor.cph2197_battery_level,35
2023-01-16 05:48:03.580637,sensor.cph2197_battery_temperature,18.6
2023-01-16 05:48:03.647020,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:05.444984,sensor.cph2197_battery_temperature,18.8
2023-01-16 05:48:05.445973,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:06.172810,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:06.222652,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:07.585291,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:07.611582,sensor.cph2197_battery_power,0.0
2023-01-16 05:48:07.624828,sensor.cph2197_battery_power,0.01
2023-01-16 06:03:07.761225,sensor.cph2197_battery_temperature,19.5
2023-01-16 06:03:07.762227,sensor.cph2197_battery_power,0.0
2023-01-16 06:18:04.720404,sensor.cph2197_battery_temperature,19.2
2023-01-16 06:18:04.721436,sensor.cph2197_battery_power,0.0
2023-01-16 06:18:08.091330,sensor.cph2197_battery_power,0.0
2023-01-16 06:36:37.330167,sensor.cph2197_battery_temperature,19.0
2023-01-16 06:36:37.331212,sensor.cph2197_battery_power,0.0
2023-01-16 06:40:14.291847,device_tracker.cph2197,home
2023-01-16 06:40:14.592786,sensor.cph2197_battery_temperature,21.6
2023-01-16 06:40:14.593860,sensor.cph2197_battery_power,0.0
2023-01-16 06:42:14.201891,device_tracker.cph2197,home
2023-01-16 06:42:14.510923,sensor.cph2197_battery_level,34
2023-01-16 06:42:14.511936,sensor.cph2197_battery_temperature,23.0
2023-01-16 06:42:14.512844,sensor.cph2197_battery_power,0.0
2023-01-16 06:48:04.705398,sensor.cph2197_battery_temperature,25.3
2023-01-16 06:48:04.706409,sensor.cph2197_battery_power,0.0
2023-01-16 06:50:47.329674,device_tracker.cph2197,home
2023-01-16 06:50:47.593567,sensor.cph2197_battery_temperature,25.7
2023-01-16 06:50:47.595298,sensor.cph2197_battery_power,0.0
2023-01-16 06:51:46.576582,sensor.cph2197_battery_level,33
2023-01-16 06:51:46.577604,sensor.cph2197_battery_temperature,25.9
2023-01-16 06:51:46.578473,sensor.cph2197_battery_power,0.0
2023-01-16 06:54:03.345315,device_tracker.cph2197,home
2023-01-16 06:54:03.603483,sensor.cph2197_battery_temperature,27.0
2023-01-16 06:54:03.604469,sensor.cph2197_battery_power,0.0
2023-01-16 07:24:01.518046,sensor.cph2197_battery_level,30
2023-01-16 07:24:01.519126,sensor.cph2197_battery_temperature,20.7
2023-01-16 07:24:01.520018,sensor.cph2197_battery_power,0.0
2023-01-16 07:26:29.091838,device_tracker.cph2197,home
2023-01-16 07:26:29.372632,sensor.cph2197_battery_temperature,22.3
2023-01-16 07:26:29.373654,sensor.cph2197_battery_power,0.0
2023-01-16 07:30:55.674329,device_tracker.cph2197,home
2023-01-16 07:30:55.956551,sensor.cph2197_battery_level,29
2023-01-16 07:30:55.957631,sensor.cph2197_battery_temperature,25.3
2023-01-16 07:30:55.958505,sensor.cph2197_battery_power,0.0
2023-01-16 07:32:55.706398,device_tracker.cph2197,home
2023-01-16 07:32:56.012107,sensor.cph2197_battery_temperature,26.4
2023-01-16 07:32:56.013142,sensor.cph2197_battery_power,0.0
2023-01-16 07:36:57.001272,device_tracker.cph2197,home
2023-01-16 07:36:57.319789,sensor.cph2197_battery_temperature,26.5
2023-01-16 07:36:57.320809,sensor.cph2197_battery_power,0.0
2023-01-16 07:39:02.106825,sensor.cph2197_battery_temperature,27.3
2023-01-16 07:39:02.107957,sensor.cph2197_battery_power,0.0
2023-01-16 07:43:10.242930,device_tracker.cph2197,home
2023-01-16 07:43:10.460615,sensor.cph2197_battery_level,28
