last_updated,entity_id,state
2023-01-20 17:51:59.072227,device_tracker.sm_a528b,unknown
2023-01-20 17:52:00.406755,sensor.sm_a528b_battery_level,43
2023-01-20 17:52:00.424134,sensor.sm_a528b_battery_state,discharging
2023-01-20 17:52:00.440138,binary_sensor.sm_a528b_is_charging,off
2023-01-20 17:52:00.458368,sensor.sm_a528b_charger_type,none
2023-01-20 17:52:00.478311,sensor.sm_a528b_battery_health,good
2023-01-20 17:52:00.497526,sensor.sm_a528b_battery_temperature,26.7
2023-01-20 17:52:00.515885,sensor.sm_a528b_battery_power,0.0
2023-01-20 17:53:13.883450,sensor.sm_a528b_battery_power,0.0
2023-01-20 17:56:03.861242,sensor.sm_a528b_battery_power,0.0
2023-01-20 17:56:14.475803,sensor.sm_a528b_battery_power,0.0
2023-01-20 17:56:49.774248,sensor.sm_a528b_battery_level,42
2023-01-20 17:56:49.775854,sensor.sm_a528b_battery_temperature,26.4
2023-01-20 17:56:49.777266,sensor.sm_a528b_battery_power,0.0
2023-01-20 17:56:51.785058,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:02:51.629112,sensor.sm_a528b_battery_level,41
2023-01-20 18:02:51.630625,sensor.sm_a528b_battery_temperature,26.8
2023-01-20 18:02:51.631891,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:03:16.084360,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:04:15.416676,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:04:34.099819,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:04:37.983809,sensor.sm_a528b_battery_power,0.0
2023-01-20 18:05:07.846776,sensor.sm_a528b_battery_level,unavailable
2023-01-20 18:05:07.847434,sensor.sm_a528b_battery_state,unavailable
2023-01-20 18:05:07.847955,sensor.sm_a528b_charger_type,unavailable
2023-01-20 18:05:07.848464,sensor.sm_a528b_battery_health,unavailable
2023-01-20 18:05:07.848986,sensor.sm_a528b_battery_temperature,unavailable
2023-01-20 18:05:07.849537,sensor.sm_a528b_battery_power,unavailable
2023-01-20 18:05:07.850002,binary_sensor.sm_a528b_is_charging,unavailable
