last_updated,entity_id,state
2023-01-16 04:14:05.366090,sensor.cph2371_battery_temperature,26.0
2023-01-16 04:21:34.021541,device_tracker.cph2371,home
2023-01-16 04:26:45.534196,sensor.cph2371_battery_temperature,25.9
2023-01-16 04:26:45.535768,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 04:29:22.230494,sensor.cph2371_battery_temperature,24.9
2023-01-16 04:29:22.232113,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 04:39:22.800851,device_tracker.cph2371,home
2023-01-16 04:44:13.864847,device_tracker.cph2371,home
2023-01-16 04:44:22.494439,sensor.cph2371_battery_temperature,23.9
2023-01-16 04:56:46.573525,sensor.cph2371_battery_temperature,22.9
2023-01-16 04:56:46.575100,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 04:59:46.838496,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 05:09:16.637594,device_tracker.cph2371,home
2023-01-16 05:14:47.827017,sensor.cph2371_battery_temperature,22.2
2023-01-16 05:26:47.760959,sensor.cph2371_battery_temperature,21.9
2023-01-16 05:26:47.762543,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 05:32:44.949546,device_tracker.cph2371,home
2023-01-16 05:32:44.966972,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 05:34:14.419691,device_tracker.cph2371,home
2023-01-16 05:56:48.707765,device_tracker.cph2371,home
2023-01-16 05:56:48.746185,sensor.cph2371_battery_temperature,21.6
2023-01-16 05:56:48.747776,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 06:01:00.774983,device_tracker.cph2371,home
2023-01-16 06:04:19.574946,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 06:19:51.614603,device_tracker.cph2371,home
2023-01-16 06:19:51.641152,sensor.cph2371_battery_temperature,21.7
2023-01-16 06:21:03.905972,sensor.cph2371_battery_level,100
2023-01-16 06:21:03.906834,sensor.cph2371_battery_state,not_charging
2023-01-16 06:21:03.907612,binary_sensor.cph2371_is_charging,off
2023-01-16 06:21:03.908297,sensor.cph2371_charger_type,none
2023-01-16 06:21:03.909046,sensor.cph2371_battery_power,0.0
2023-01-16 06:21:03.909732,sensor.cph2371_last_update_trigger,android.intent.action.ACTION_POWER_DISCONNECTED
2023-01-16 06:21:09.081586,sensor.cph2371_battery_power,0.0
2023-01-16 06:26:50.002540,sensor.cph2371_battery_temperature,22.3
2023-01-16 06:26:50.003536,sensor.cph2371_battery_power,0.0
2023-01-16 06:26:50.004353,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 06:38:35.922521,device_tracker.cph2371,home
2023-01-16 06:40:46.954604,device_tracker.cph2371,home
2023-01-16 06:43:36.146444,sensor.cph2371_battery_temperature,21.9
2023-01-16 06:43:36.147421,sensor.cph2371_battery_power,0.0
2023-01-16 06:43:36.148240,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 06:56:47.725050,device_tracker.cph2371,home
2023-01-16 06:56:50.141637,sensor.cph2371_battery_temperature,20.0
