time,app_me020666666666666667mory,battery_power,last_update_trigger,light_sensor,active_notification_count,pressure_sensor,battery_temperature,screen_brightness,device_locked,wifi_link_speed,interactive,doze_mode,battery_level,wifi_signal_strength,total_tx_gb,wifi_frequency,app_rx_gb,app_tx_gb,last_used_app,total_rx_gb,detected_activity,proximity_sensor,steps_sensor,headphones,volume_level_call,volume_level_music,volume_level_accessibility,music_active,wifi_connection,network_type,mobile_rx_gb,mobile_tx_gb,audio_mode,phone_state,volume_level_system,bluetooth_connection,bluetooth_state,battery_state,is_charging,charger_type,battery_health,ble_transmitter,do_not_disturb_sensor,screen_off_timeout,speakerphone,mobile_data,wifi_state,power_save,device_id
2023-01-27 00:15:00,0.028999999999999998,0,android.net.wifi.STATE_CHANGE,0,0,0,27.4,0,off,390,off,off,46,0,1.354,0,0,0,unknown,43.913,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 00:30:00,0.032,0.0,android.net.wifi.STATE_CHANGE,0,0,0,29.9,0,off,390,off,off,44,-46,1.358,0,0,0,unknown,44.08,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 00:45:00,0.020666666666666667,0,android.net.wifi.STATE_CHANGE,0,1,0,28.95,0,off,433,off,off,43,-46,1.3606666666666667,0,0.0511,0,unknown,44.168000000000006,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 01:00:00,0.020666666666666667,0,android.net.wifi.STATE_CHANGE,0,1,0,28.95,0,off,433,off,off,43,-46,1.3606666666666667,0,0.0511,0,unknown,44.168000000000006,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 01:15:00,0.0265,-0.005,android.net.wifi.STATE_CHANGE,0,2,0,25.1,0,off,433,off,off,43,-46,1.3606666666666667,0,0.0511,0,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 01:30:00,0.03,0.0,android.net.wifi.STATE_CHANGE,0,3,0,24.0,0,off,433,off,off,43,-46,1.3606666666666667,0,0.0511,0.0271,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 01:45:00,0.02366666666666667,0,android.net.wifi.STATE_CHANGE,0,2,0,21.55,0,off,433,off,off,42,-46,1.3606666666666667,0,0.0511,0.0271,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 02:00:00,0.02366666666666667,0,android.net.wifi.STATE_CHANGE,0,2,0,21.55,0,off,433,off,off,42,-46,1.3606666666666667,0,0.0511,0.0271,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 02:15:00,0.023,0.0,android.net.wifi.STATE_CHANGE,0,2,0,19.9,0,off,433,off,off,42,-46,1.3606666666666667,0,0.0511,0.0271,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
2023-01-27 02:30:00,0.023,0.0,android.net.wifi.STATE_CHANGE,0,2,0,19.9,0,off,433,off,off,42,-46,1.3606666666666667,0,0.0511,0.0271,unknown,44.207,unknown,0,0,off,0,2,3,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMA336B
