time,app_memory,battery_power,last_update_trigger,light_sensor,active_notification_count,pressure_sensor,battery_temperature,screen_brightness,device_locked,wifi_link_speed,interactive,doze_mode,battery_level,wifi_signal_strength,total_tx_gb,wifi_frequency,app_rx_gb,app_tx_gb,last_used_app,total_rx_gb,detected_activity,proximity_sensor,steps_sensor,headphones,volume_level_call,volume_level_music,volume_level_accessibility,music_active,wifi_connection,network_type,mobile_rx_gb,mobile_tx_gb,audio_mode,phone_state,volume_level_system,bluetooth_connection,bluetooth_state,battery_state,is_charging,charger_type,battery_health,ble_transmitter,do_not_disturb_sensor,screen_off_timeout,speakerphone,mobile_data,wifi_state,power_save,device_id
2023-01-27 00:15:00,0.018000000000000002,0,SensorWorker,16.857142857142858,0.5,1014.5666666666666,19.666666666666668,62.666666666666664,off,1791014.16666666666666,on,off,69,-32.0,0.09,5500,0.01985,0.0096,com.android.settings,1.161,unknown,4.0,0,off,0,0,0,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 00:30:00,0.01935294117647059,0,android.os.action.DEVICE_IDLE_MODE_CHANGED,29.933333333333334,1.125,1014.55,20.766666666666666,75.0,off,173.4,on,off,67.5,-60.75,0.09,2412,0.020175,0.0097,com.android.settings,1.161,unknown,4.0,7549.0,off,0,9,9,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 00:45:00,0.018615384615384617,0,android.intent.action.SCREEN_OFF,9.636363636363637,0.5555555555555556,1014.65,28.9,69.28571428571429,on,83.78571428571429,off,off,62.5,-60.0,0.0955,2412,0.020716666666666668,0.009850000000000001,com.android.chrome,1.6395,unknown,2.6666666666666665,7549.0,off,5,13.5,13.5,off,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 01:00:00,0.017400000000000002,0,android.net.wifi.STATE_CHANGE,9.636363636363637,0.5,1014.55,29.825000000000003,69.28571428571429,on,104.0,off,off,56.5,-43.333333333333336,0.0985,3956.0,0.020716666666666668,0.009850000000000001,com.android.chrome,1.8504,unknown,5.333333333333333,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 01:15:00,0.018500000000000003,0,android.os.action.DEVICE_IDLE_MODE_CHANGED,9.636363636363637,1,1014.55,28.5,69.28571428571429,on,104.0,off,off,54,-59,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,5.333333333333333,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 01:30:00,0.023,0,android.net.wifi.STATE_CHANGE,9.636363636363637,0.5,1014.55,28.5,69.28571428571429,on,104.0,off,off,54,-59,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,0,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 01:45:00,0.023,0,android.net.wifi.STATE_CHANGE,9.636363636363637,0.5,1014.55,28.5,69.28571428571429,on,104.0,off,off,54,-59,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,0,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 02:00:00,0.016,0,android.net.wifi.STATE_CHANGE,9.636363636363637,0,1014.45,26.049999999999997,69.28571428571429,on,104.0,off,off,52,-59,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,8,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 02:15:00,0.020999999999999998,0,android.net.wifi.STATE_CHANGE,9.636363636363637,1,1014.3,24.65,69.28571428571429,on,104.0,off,off,52,-66,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,0,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
2023-01-27 02:30:00,0.017,0.0,android.net.wifi.STATE_CHANGE,9.636363636363637,1,1014.3,23.2,69.28571428571429,on,104.0,off,off,52,-66,0.0985,3956.0,0.0211,0.009850000000000001,com.android.chrome,1.8504,unknown,0,7549.0,off,5,5,6,on,<not connected>,cellular,0,0,normal,idle,0,0,off,discharging,off,none,good,transmitting,unknown,unknown,off,off,off,off,SMG960F
